form	lemma	POS	morph
		
༄༅། །		PUNCT
ཀླན་ཀ་	ཀླན་ཀ་	NOUN
གཞོམ་པ་	གཞོམ་པ་	VERB
འི་	གི་	PART
གཏམ་	གཏམ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"། །

༄༅། །"		PUNCT
འཇམ་མགོན་	འཇམ་མགོན་	OTHER
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
གང་	གང་	NO_POS
གསུང་	གསུང་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆ་ཤས་	ཆ་ཤས་	NOUN
རེ་རེ་	རེ་རེ་	DET
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
། །		PUNCT
ལོག་རྟོག་	ལོག་རྟོག་	OTHER
མུན་པ་	མུན་པ་	NOUN
འི་	གི་	PART
ཁེངས་	ཁེངས་	VERB
འཇོམས་	འཇོམས་	NO_POS
ངེས་དོན་	ངེས་དོན་	NOUN
གྱི་	གི་	PART
། །		PUNCT
ཀུ་མུད་	ཀུ་མུད་	OTHER
འབྱེད་པ་	འབྱེད་པ་	VERB
འི་	གི་	PART
འཇམ་མགོན་	འཇམ་མགོན་	OTHER
བསིལ་ཟེར་	བསིལ་ཟེར་	OTHER
ཅན་	ཅན་	PART
། །		PUNCT
དད་པ་	དད་པ་	VERB
འི་	གི་	PART
ཡིད་	ཡིད་	NOUN
མཁའ་	མཁའ་	NOUN
རོལ་	རོལ་	VERB
དེ་	དེ་	DET
ར་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
དཔྱོད་ལྡན་	དཔྱོད་ལྡན་	OTHER
ཡོན་པོ་	ཡོན་པོ་	NO_POS
འི་	གི་	PART
ངག་	ངག་	NOUN
གི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ཞུགས་	ཞུགས་	VERB
འགའ་	འགའ་	DET
། །		PUNCT
སོམ་ཉི་	སོམ་ཉི་	NOUN
ས་	གིས་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
གཞུང་ལམ་	གཞུང་ལམ་	OTHER
འདི་	འདི་	DET
སྤངས་	སྤངས་	VERB
ན་	ནས་	PART
། །		PUNCT
ཚུལ་མིན་	ཚུལ་མིན་	NO_POS
མྱ་ངན་	མྱ་ངན་	NOUN
ལམ་	གམ་	PART
འཁྱམས་	འཁྱམས་	NO_POS
དུབ་པ་	དུབ་པ་	VERB
དག་	དག་	DET
།		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
གཞན་དབང་	གཞན་དབང་	NO_POS
སོང་བ་	སོང་བ་	VERB
ས་	གིས་	PART
སླ་	སླ་	ADV
འདི་	འདི་	DET
ར་	ལ་	PART
ཁྲིད་	ཁྲིད་	VERB
། །		PUNCT
དེང་སང་	དེང་སང་	ADV
འགའ་ཞིག་	འགའ་ཞིག་	OTHER
ན་རེ་	ན་རེ་	ADP
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
རྒྱ་ནག་	རྒྱ་ནག་	PROPN
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
གཉིས་	གཉིས་	NUM
ཡ་		
འཛེག་	འཛེག་	VERB
དང་	དང་	NO_POS
མ་	མ་	OTHER
འཛེག་	འཛེག་	VERB
མིང་འདོགས་	མིང་འདོགས་	NO_POS
ཕྱོགས་	ཕྱོགས་	NOUN
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
མ་གཏོགས་	མ་གཏོགས་	NO_POS
ཁྱད་མེད་	ཁྱད་མེད་	NO_POS
དོ་	གོ་	PART
ཞེ་	ཅེས་	PART
གྲག་	གྲག་	VERB
གོ་	གོ་	PART
།		PUNCT
དཔྱད་	དཔྱད་	VERB
ཀྱི་	གི་	PART
།		PUNCT
ཁོ་བོ་	ཁོ་བོ་	PRON
ཅག་	ཅག་	NO_POS
གིས་	གིས་	PART
ལྟ་བ་	ལྟ་བ་	VERB
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
གཏན་	གཏན་	NOUN
ལ་	ལ་	PART
ཕེབས་པ་	ཕེབས་པ་	VERB
ནི་	ནི་	NO_POS
གནས་ལུགས་	གནས་ལུགས་	VERB
མངོན་སུམ་	མངོན་སུམ་	NOUN
དུ་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
ལ་	ལ་	PART
རག་	རག་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཏེ་	སྟེ་	PART
།		PUNCT
གཞན་དག་	གཞན་དག་	NO_POS
གི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
འདའ་	འདའ་	VERB
